start,end,speaker_id
1774.32,1775.82,Speaker_364
1775.82,1778.07,Speaker_713
1778.07,1778.82,Speaker_938
1778.82,1780.32,Speaker_795
1780.32,1781.82,Speaker_437
1781.82,1792.9099999999999,Speaker_473
1792.9099999999999,1803.25,Speaker_408
1803.25,1808.5,Speaker_754
1808.5,1810.0,Speaker_28
1810.0,1813.75,Speaker_447
1813.75,1815.25,Speaker_28
1815.25,1820.625,Speaker_199
1820.625,1828.7775,Speaker_879
1848.0,1849.5,Speaker_905
1849.5,1850.25,Speaker_223
1850.25,1853.25,Speaker_677
1853.25,1854.75,Speaker_525
1854.75,1856.25,Speaker_805
1856.25,1857.0,Speaker_836
1857.0,1858.5,Speaker_637
1858.5,1860.0,Speaker_265
1860.0,1860.27,Speaker_292
1861.98,1863.48,Speaker_345
1863.48,1866.48,Speaker_742
1866.48,1867.98,Speaker_312
1867.98,1868.73,Speaker_519
1868.73,1871.57,Speaker_939
1874.34,1875.84,Speaker_775
1875.84,1875.89,Speaker_246
1879.4,1881.65,Speaker_401
1881.65,1882.4,Speaker_424
1882.4,1888.58,Speaker_550
1889.18,1889.91,Speaker_672
1895.18,1897.42,Speaker_236
1898.77,1901.01,Speaker_693
1902.66,1904.455,Speaker_484
1904.455,1906.25,Speaker_31
1906.25,1907.0,Speaker_509
1907.0,1907.75,Speaker_425
1907.75,1908.5,Speaker_354
1908.5,1909.04,Speaker_633
1909.7,1910.64,Speaker_439
1911.56,1914.22,Speaker_313
1915.67,1916.76,Speaker_575
1917.85,1919.35,Speaker_632
1919.35,1920.1,Speaker_825
1920.1,1920.85,Speaker_343
1920.85,1928.12,Speaker_371
1933.17,1933.545,Speaker_611
1933.545,1934.67,Speaker_378
1934.67,1935.19,Speaker_340
1935.91,1939.66,Speaker_272
1939.66,1941.16,Speaker_722
1941.16,1943.41,Speaker_835
1943.41,1943.58,Speaker_243
1946.27,1957.52,Speaker_609
1957.52,1958.27,Speaker_346
1958.27,1961.075,Speaker_435
1961.075,1971.575,Speaker_469
1981.13,1983.38,Speaker_573
1983.38,1985.63,Speaker_234
1985.63,1988.315,Speaker_563
1988.315,1990.25,Speaker_62
1990.25,1991.0,Speaker_737
1991.0,1991.75,Speaker_411
1991.75,1994.0,Speaker_925
1994.0,1996.25,Speaker_325
1996.25,1998.5,Speaker_344
1998.5,2000.0,Speaker_504
2000.0,2001.5,Speaker_270
2001.5,2002.25,Speaker_852
2002.25,2006.75,Speaker_247
2006.75,2007.5,Speaker_809
2007.5,2009.0,Speaker_281
2009.0,2010.5,Speaker_352
2010.5,2012.0,Speaker_349
2012.0,2012.75,Speaker_553
2012.75,2014.25,Speaker_574
2014.25,2015.75,Speaker_177
2015.75,2017.0,Speaker_290
2017.0,2018.125,Speaker_761
2018.25,2019.0,Speaker_391
2019.0,2019.75,Speaker_423
2019.75,2021.25,Speaker_793
2021.25,2022.0,Speaker_570
2022.0,2028.0,Speaker_405
2028.0,2031.0,Speaker_549
2031.0,2032.5,Speaker_433
2032.5,2034.75,Speaker_341
2034.75,2037.75,Speaker_370
2037.75,2039.25,Speaker_309
2039.25,2040.0,Speaker_348
2040.0,2041.5,Speaker_429
2041.5,2043.0,Speaker_527
2043.0,2045.0,Speaker_444
2045.0,2047.25,Speaker_215
2048.5,2049.25,Speaker_755
2049.25,2050.75,Speaker_899
2050.75,2051.5,Speaker_559
2051.5,2057.5,Speaker_315
2057.5,2058.25,Speaker_655
2058.25,2071.0,Speaker_721
2071.0,2071.75,Speaker_599
2071.75,2072.25,Speaker_414
2072.25,2073.0,Speaker_476
2073.0,2073.25,Speaker_673
2073.25,2073.795,Speaker_248
2073.795,2076.5,Speaker_156
2076.5,2077.25,Speaker_338
2077.25,2078.75,Speaker_970
2078.75,2079.5,Speaker_379
2079.5,2081.0,Speaker_327
2081.0,2082.5,Speaker_291
2082.5,2084.0,Speaker_418
2084.0,2085.5,Speaker_295
2085.5,2086.25,Speaker_361
2086.25,2086.74,Speaker_366
2087.3,2088.8,Speaker_666
2088.8,2089.55,Speaker_700
2089.55,2089.6000000000004,Speaker_259
2090.7,2092.95,Speaker_394
2092.95,2093.48,Speaker_955
2097.3,2098.6,Speaker_368
2099.17,2100.05,Speaker_511
2108.74,2110.24,Speaker_779
2110.24,2110.46,Speaker_210
2111.06,2114.81,Speaker_1
2114.81,2116.1,Speaker_294
2117.07,2119.32,Speaker_557
2119.32,2120.82,Speaker_369
2120.82,2129.045,Speaker_381
2129.045,2157.045,Speaker_232
2157.045,2162.0,Speaker_909
2162.0,2162.75,Speaker_147
2162.75,2163.5,Speaker_195
2163.5,2164.25,Speaker_912
2164.25,2167.25,Speaker_339
2167.25,2168.0,Speaker_217
2168.0,2168.75,Speaker_200
2168.75,2171.75,Speaker_342
2171.75,2173.25,Speaker_282
2173.25,2174.0,Speaker_694
2174.0,2174.75,Speaker_832
2174.75,2175.5,Speaker_1
2175.5,2177.0,Speaker_873
2177.0,2178.5,Speaker_413
2178.5,2183.0,Speaker_258
2183.0,2183.75,Speaker_462
2183.75,2185.0,Speaker_380
2185.0,2186.125,Speaker_264
2186.25,2192.25,Speaker_436
2192.25,2193.75,Speaker_488
2193.75,2194.5,Speaker_331
2194.5,2198.25,Speaker_491
2198.25,2199.0,Speaker_671
2199.0,2202.45,Speaker_806
2203.96,2213.02,Speaker_454
2213.02,2225.62,Speaker_419
2225.62,2226.37,Speaker_271
2226.37,2229.37,Speaker_268
2229.37,2230.12,Speaker_305
2230.12,2231.62,Speaker_767
2231.62,2232.37,Speaker_971
2232.37,2234.62,Speaker_478
2234.62,2240.98,Speaker_135
2240.98,2243.0,Speaker_501
2243.0,2243.75,Speaker_184
2243.75,2244.5,Speaker_377
2244.5,2244.56,Speaker_155
2247.7,2249.2,Speaker_412
2249.2,2256.7,Speaker_415
2256.7,2257.94,Speaker_154
2258.46,2259.96,Speaker_467
2259.96,2261.46,Speaker_132
2261.46,2262.21,Speaker_255
2262.21,2264.46,Speaker_254
2264.46,2265.96,Speaker_459
2265.96,2266.71,Speaker_307
2266.71,2267.46,Speaker_417
2267.46,2268.48,Speaker_943
2268.48,2269.23,Speaker_387
2269.23,2269.605,Speaker_214
2269.605,2272.23,Speaker_129
2274.75,2275.5,Speaker_409
